#Data tag : 24v2 , Norm tag: composite
# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 366442 --end 370790  > lumi_2023.txt
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 368453:8873 | 06/05/23 00:22:37 | 11   | 6    | 0.004451458    | 0.000294971   |
| 368454:8873 | 06/05/23 00:26:44 | 1174 | 1174 | 0.349623164    | 0.335433299   |
| 368489:8877 | 06/05/23 13:05:43 | 1550 | 1550 | 0.549176115    | 0.526607579   |
| 368542:8880 | 06/06/23 03:47:15 | 40   | 30   | 0.006938743    | 0.004169251   |
| 368546:8880 | 06/06/23 04:02:46 | 666  | 659  | 0.302889469    | 0.279560371   |
| 368547:8880 | 06/06/23 08:21:17 | 723  | 702  | 0.266178612    | 0.238710199   |
| 368548:8880 | 06/06/23 13:02:12 | 1052 | 1052 | 0.253401847    | 0.243984242   |
| 368565:8882 | 06/06/23 22:34:56 | 8    | 0    | 0.001170962    | 0             |
| 368566:8882 | 06/06/23 22:37:56 | 1201 | 1195 | 0.511229052    | 0.480560978   |
| 368567:8882 | 06/07/23 06:24:22 | 442  | 442  | 0.133924368    | 0.128054249   |
| 368609:8885 | 06/08/23 00:28:01 | 1029 | 1023 | 0.437994807    | 0.415739770   |
| 368610:8885 | 06/08/23 07:07:44 | 6    | 2    | 0.002160058    | 0.000005376   |
| 368611:8885 | 06/08/23 07:09:42 | 415  | 410  | 0.134100267    | 0.127425031   |
| 368612:8885 | 06/08/23 09:50:55 | 13   | 7    | 0.003743864    | 0.001800350   |
| 368613:8885 | 06/08/23 09:55:55 | 268  | 268  | 0.071889372    | 0.069244660   |
| 368636:8887 | 06/08/23 21:30:58 | 772  | 772  | 0.329613698    | 0.314590106   |
| 368669:8891 | 06/09/23 13:09:54 | 377  | 371  | 0.168974744    | 0.157809047   |
| 368670:8891 | 06/09/23 15:36:20 | 315  | 308  | 0.147940963    | 0.115230986   |
| 368671:8891 | 06/09/23 17:38:43 | 4    | 1    | 0.001694607    | 0.000007820   |
| 368672:8891 | 06/09/23 17:40:15 | 937  | 933  | 0.325436824    | 0.310807788   |
| 368673:8891 | 06/09/23 23:44:02 | 118  | 11   | 0.030499289    | 0.002535895   |
| 368674:8891 | 06/10/23 00:29:40 | 17   | 11   | 0.004285416    | 0.002412696   |
| 368675:8891 | 06/10/23 00:36:10 | 57   | 50   | 0.014058154    | 0.011092737   |
| 368676:8891 | 06/10/23 00:58:19 | 165  | 156  | 0.038698421    | 0.035161723   |
| 368678:8891 | 06/10/23 02:02:10 | 174  | 174  | 0.037872036    | 0.036495670   |
| 368684:8894 | 06/10/23 07:12:44 | 106  | 97   | 0.030880245    | 0.024394061   |
| 368685:8894 | 06/10/23 07:53:33 | 1507 | 1488 | 0.587712015    | 0.563237263   |
| 368723:8895 | 06/11/23 00:03:05 | 154  | 148  | 0.049181291    | 0.042645514   |
| 368724:8895 | 06/11/23 01:02:34 | 1216 | 1216 | 0.524721178    | 0.498856112   |
| 368746:8896 | 06/11/23 11:26:12 | 57   | 41   | 0.014285460    | 0.008483170   |
| 368748:8896 | 06/11/23 11:47:59 | 12   | 6    | 0.004232676    | 0.000000351   |
| 368749:8896 | 06/11/23 11:52:39 | 178  | 170  | 0.081552482    | 0.072065072   |
| 368750:8896 | 06/11/23 13:01:45 | 6    | 2    | 0.002829819    | 0.000000075   |
| 368751:8896 | 06/11/23 13:03:49 | 10   | 3    | 0.004703069    | 0.000038078   |
| 368752:8896 | 06/11/23 13:07:26 | 8    | 3    | 0.003650096    | 0.000000502   |
| 368753:8896 | 06/11/23 13:10:11 | 998  | 998  | 0.430954313    | 0.410351850   |
| 368762:8896 | 06/11/23 22:37:37 | 206  | 196  | 0.079403092    | 0.069122861   |
| 368763:8896 | 06/11/23 23:57:18 | 12   | 4    | 0.005653022    | 0.000035043   |
| 368764:8896 | 06/12/23 00:01:59 | 15   | 4    | 0.007089463    | 0.000736997   |
| 368765:8896 | 06/12/23 00:07:46 | 1400 | 1391 | 0.559930395    | 0.537153820   |
| 368822:8901 | 06/13/23 02:27:34 | 954  | 949  | 0.419254058    | 0.396557021   |
| 368823:8901 | 06/13/23 08:38:01 | 61   | 61   | 0.024714554    | 0.021234776   |
| 369794:8997 | 06/28/23 10:30:57 | 934  | 926  | 0.000208934    | 0.000203572   |
| 369795:8997 | 06/28/23 16:33:36 | 76   | 30   | 0.000013864    | 0.000003043   |
| 369797:8997 | 06/28/23 17:03:07 | 54   | 47   | 0.000003586    | 0.000003520   |
| 369802:8999 | 06/28/23 20:17:48 | 3717 | 3717 | 0.000622833    | 0.000611474   |
| 369867:9007 | 06/30/23 11:16:10 | 37   | 25   | 0.000561030    | 0.000343222   |
| 369869:9007 | 06/30/23 11:30:21 | 439  | 430  | 0.006232888    | 0.006067850   |
| 369870:9007 | 06/30/23 14:20:33 | 290  | 278  | 0.007485902    | 0.007047559   |
| 369872:9007 | 06/30/23 16:13:06 | 419  | 412  | 0.008869653    | 0.008467060   |
| 369873:9007 | 06/30/23 18:55:45 | 198  | 198  | 0.005586831    | 0.005389114   |
| 369901:9014 | 07/01/23 07:14:34 | 4    | 4    | 0.000000005    | 0.000000003   |
| 369927:9016 | 07/01/23 12:26:27 | 350  | 350  | 0.003352335    | 0.003284450   |
| 369937:9017 | 07/01/23 16:44:46 | 132  | 125  | 0.006630143    | 0.005960332   |
| 369938:9017 | 07/01/23 17:36:04 | 185  | 162  | 0.014469262    | 0.011791234   |
| 369941:9017 | 07/01/23 18:47:41 | 12   | 4    | 0.000932328    | 0.000000115   |
| 369942:9017 | 07/01/23 18:52:00 | 103  | 94   | 0.008181989    | 0.007308387   |
| 369943:9017 | 07/01/23 19:31:57 | 392  | 392  | 0.030436698    | 0.029669777   |
| 369956:9019 | 07/02/23 03:23:16 | 1050 | 1050 | 0.091705295    | 0.089191675   |
| 369978:9022 | 07/02/23 16:21:04 | 793  | 793  | 0.174816739    | 0.168004674   |
| 369994:9023 | 07/02/23 23:59:00 | 83   | 63   | 0.014018766    | 0.009243982   |
| 369998:9023 | 07/03/23 00:31:01 | 185  | 179  | 0.062197064    | 0.055217950   |
| 369999:9023 | 07/03/23 01:42:38 | 48   | 41   | 0.019153178    | 0.014803331   |
| 370000:9023 | 07/03/23 02:01:16 | 238  | 238  | 0.066328741    | 0.064162426   |
| 370091:9029 | 07/03/23 23:30:01 | 53   | 43   | 0.013090513    | 0.009658525   |
| 370092:9029 | 07/03/23 23:50:17 | 6    | 3    | 0.001452206    | 0.000086274   |
| 370093:9029 | 07/03/23 23:52:21 | 461  | 450  | 0.164632660    | 0.152450115   |
| 370094:9029 | 07/04/23 02:51:18 | 8    | 3    | 0.003633515    | 0.000008282   |
| 370095:9029 | 07/04/23 02:54:19 | 353  | 347  | 0.103867407    | 0.097639922   |
| 370096:9029 | 07/04/23 05:11:10 | 9    | 3    | 0.003740743    | 0.000793507   |
| 370097:9029 | 07/04/23 05:14:28 | 374  | 356  | 0.142867625    | 0.129227888   |
| 370100:9029 | 07/04/23 07:39:36 | 10   | 3    | 0.003404446    | 0.000000687   |
| 370101:9029 | 07/04/23 07:43:25 | 13   | 5    | 0.004387574    | 0.000000285   |
| 370102:9029 | 07/04/23 07:48:17 | 767  | 765  | 0.213702322    | 0.205187184   |
| 370129:9031 | 07/04/23 16:56:34 | 681  | 572  | 0.293733944    | 0.230479737   |
| 370141:9031 | 07/04/23 21:21:04 | 12   | 9    | 0.005274254    | 0.000000005   |
| 370142:9031 | 07/04/23 21:25:42 | 15   | 8    | 0.006529482    | 0.000000007   |
| 370143:9031 | 07/04/23 21:31:13 | 13   | 4    | 0.005616296    | 0             |
| 370144:9031 | 07/04/23 21:36:05 | 1337 | 1335 | 0.407865383    | 0.392863837   |
| 370169:9035 | 07/05/23 11:03:53 | 1429 | 1421 | 0.577604732    | 0.532022361   |
| 370170:9035 | 07/05/23 20:18:52 | 24   | 16   | 0.007223068    | 0             |
| 370171:9035 | 07/05/23 20:28:03 | 102  | 45   | 0.029693549    | 0.000001976   |
| 370172:9035 | 07/05/23 21:07:28 | 309  | 309  | 0.081993473    | 0.076983279   |
| 370175:9036 | 07/06/23 01:17:46 | 1804 | 1747 | 0.748762406    | 0.697398167   |
| 370186:9036 | 07/06/23 12:58:38 | 12   | 5    | 0.003466212    | 0.000000059   |
