# brilcalc lumi --normtag /cvmfs/cms-bril.cern.ch/cms-lumi-pog/Normtags/normtag_PHYSICS.json -u /fb --begin 378981 --end 386951 -b "STABLE BEAMS" > lumi_2024.txt
#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 380532:9610  | 05/09/24 13:46:15 | 19   | 13   | 0.006925623    | 0.001509782   |
| 380533:9610  | 05/09/24 13:53:34 | 8    | 2    | 0.002888652    | 0.000002011   |
| 380534:9610  | 05/09/24 13:56:20 | 780  | 772  | 0.236385655    | 0.227423591   |
| 380535:9610  | 05/09/24 18:59:19 | 26   | 7    | 0.006557444    | 0.000000361   |
| 380537:9610  | 05/09/24 19:09:12 | 72   | 66   | 0.017831088    | 0.014009346   |
| 380538:9610  | 05/09/24 19:36:56 | 153  | 153  | 0.034307448    | 0.033371507   |
| 380564:9611  | 05/09/24 23:47:07 | 760  | 752  | 0.335457316    | 0.310641383   |
| 380565:9611  | 05/10/24 04:42:10 | 32   | 6    | 0.013257759    | 0.000000368   |
| 380567:9611  | 05/10/24 04:54:24 | 1090 | 1090 | 0.343445589    | 0.333695597   |
| 380623:9614  | 05/11/24 20:40:06 | 404  | 397  | 0.172507250    | 0.158483926   |
| 380624:9614  | 05/11/24 23:16:57 | 816  | 812  | 0.334676869    | 0.316711086   |
| 380625:9614  | 05/12/24 04:34:00 | 15   | 10   | 0.004959621    | 0.002309788   |
| 380626:9614  | 05/12/24 04:39:38 | 24   | 19   | 0.007854251    | 0.004652690   |
| 380627:9614  | 05/12/24 04:48:42 | 814  | 814  | 0.221642300    | 0.216344061   |
| 380647:9618  | 05/12/24 22:28:13 | 387  | 378  | 0.170124048    | 0.150114230   |
| 380648:9618  | 05/13/24 00:58:14 | 150  | 129  | 0.071218413    | 0.055106815   |
| 380649:9618  | 05/13/24 01:56:15 | 427  | 427  | 0.179912997    | 0.169471297   |
| 380711:9626  | 05/14/24 08:36:42 | 304  | 275  | 0.000008406    | 0.000007369   |
| 380712:9626  | 05/14/24 10:34:38 | 666  | 666  | 0.000009396    | 0.000009193   |
| 380843:9639  | 05/16/24 13:31:12 | 2    | 0    | 0.000000518    | 0             |
| 380844:9639  | 05/16/24 13:31:50 | 17   | 6    | 0.000004401    | 0.000001344   |
| 380845:9639  | 05/16/24 13:38:22 | 131  | 124  | 0.000025149    | 0.000021789   |
| 380846:9639  | 05/16/24 14:29:05 | 390  | 380  | 0.000102709    | 0.000096386   |
| 380847:9639  | 05/16/24 17:00:23 | 1054 | 1045 | 0.000125908    | 0.000117549   |
| 380848:9639  | 05/16/24 23:49:35 | 3678 | 3678 | 0.000926116    | 0.000901665   |
| 380860:9641  | 05/18/24 02:43:55 | 147  | 147  | 0.000014267    | 0.000013984   |
| 380878:9643  | 05/18/24 10:05:12 | 6    | 0    | 0.000000591    | 0             |
| 380879:9643  | 05/18/24 10:07:22 | 53   | 41   | 0.000005166    | 0.000003952   |
| 380883:9643  | 05/18/24 10:27:57 | 13   | 4    | 0.000001255    | 0.000000275   |
| 380884:9643  | 05/18/24 10:32:53 | 111  | 111  | 0.000010081    | 0.000009959   |
